Link,Company,Title,Location,summary
https://www.jobkorea.co.kr/Recruit/GI_Read/40750096,재단법인 한국세계자연기금,[WWF-Korea] Sustainability Program Officer/ Jr. Officer (2명 채용),서울,"재단법인, NGO, 기획조사, 사업기획, 신규사업·BD, 전략, 타당성분석, 영업기획, 경영컨설팅"
https://www.jobkorea.co.kr/Recruit/GI_Read/40656506,줄리컬리지잇 어학원,"기획력있는 ESSAY 지도, 원어민,교포,바이링구얼 영어선생님 구인",경기,"어학원, 영어학원, 학원강사, 영어, 영어강사, TOEFL, TOEIC, 원어민강사"
https://www.jobkorea.co.kr/Recruit/GI_Read/40660460,㈜스트라드비젼,Business Development - China(Seoul),서울,"소프트웨어개발, 영어, 중국어, 기술영업, 법인영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40747191,오름테라퓨틱,오름테라퓨틱(주) 자금관리 담당자 채용중,대전,"바이오, 생명공학, 의약, 제약"
https://www.jobkorea.co.kr/Recruit/GI_Read/40891473,와이엔제이,"[인사/사무,연3800] 복지多多 회사 지원해요",,
https://www.jobkorea.co.kr/Recruit/GI_Read/40883710,㈜JYP엔터테인먼트,2023년 1분기 JYP엔터테인먼트 공개 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40743176,㈜트레져러,가로수길 명품매장 판매직/매니저/알바 모집,서울,"상품기획, 소셜커머스, 쇼핑몰, 온라인경매, 전자상거래, 매장관리, 잡화판매, 재고관리, 진열관리, 판매관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40736278,재단법인 한국세계자연기금,[WWF-Korea] Finance & Operation Sr. Officer(팀장) 채용,서울,"재단법인, NGO, 총무, 결산, 경영지원, 관리회계, 회계, 회계감사, 감사, 결산, 공시, 재무, 재무회계"
https://www.jobkorea.co.kr/Recruit/GI_Read/40679723,알티엠,[제품기획팀] PO(Product Owner),서울,"소프트웨어개발, 솔루션"
https://www.jobkorea.co.kr/Recruit/GI_Read/40868071,㈜유피케미칼,(주)유피케미칼 신입/경력 공개채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40677185,텔루스인터내셔널에이아이코리아㈜,In Vehicle Video Recording - Moderator모집,서울,경영기획
https://www.jobkorea.co.kr/Recruit/GI_Read/40838413,쿠팡 주식회사,전국 플렉스 어시스턴트(현장 운영/관리) 대규모 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40719072,위워크코리아,[WeWork] Sales Manager (12 Months Contract),서울,"대여, 임대, 국내영업, 일반영업, 렌탈영업, 부동산영업, 고객상담, 고객관리, 회원관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40660569,㈜스트라드비젼,Senior Business Development Manager (Korea),서울,"소프트웨어개발, 기술영업, 해외영업, 영어"
https://www.jobkorea.co.kr/Recruit/GI_Read/40868722,현대오토에버㈜,2023년 1분기 현대오토에버 신입/경력사원 대규모 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40806049,지엘컴퍼니(GLC),"계약서작성 및 관리 직원모집(연봉 5,500만 이상)",,
https://www.jobkorea.co.kr/Recruit/GI_Read/40817599,와디즈 주식회사,와디즈 소싱/영업 PD 카테고리별 집중 채용 (신입/경력),,
https://www.jobkorea.co.kr/Recruit/GI_Read/40733655,베스트네트워크㈜,3. Finance controller 임원급 채용 [유명 외국계 금융사],서울,"서치펌, 헤드헌팅, 회계"
https://www.jobkorea.co.kr/Recruit/GI_Read/40729337,미디어텍코리아㈜,[미디어텍코리아] Sales - Senior Account Manager,경기,"반도체, 해외영업, 기술영업, 부동산영업, 네트워크영업, 솔루션영업, 시스템영업, 영업관리, 영업지원, 반도체, 회로설계"
https://www.jobkorea.co.kr/Recruit/GI_Read/40727240,지멘스 PLM,Renewal Sales Representative 채용,서울,솔루션영업
https://www.jobkorea.co.kr/Recruit/GI_Read/40764384,갈더마코리아㈜,"[갈더마코리아] Consumer Care 부서, Marketing Manager채용",서울,"의료기기, 의약, 제약, 화장품, 문서관리, 사무관리, 의약사무"
https://www.jobkorea.co.kr/Recruit/GI_Read/40888312,㈜케이지이니시스,[KG이니시스] 총무직 신입 및 경력직 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40823005,현대자동차㈜,현대자동차 연구개발본부 Tech Recruiting (채용/인재확보/인재영입),,
https://www.jobkorea.co.kr/Recruit/GI_Read/40566138,㈜마인드에이아이,Mind AI - Business Development Representative,서울,"모바일앱개발, 소프트웨어개발, 솔루션, 경영기획, 기획조사, 사업기획, 신규사업·BD, 전략"
https://www.jobkorea.co.kr/Recruit/GI_Read/40891473,와이엔제이,"[인사/사무,연3800] 복지多多 회사 지원해요",,
https://www.jobkorea.co.kr/Recruit/GI_Read/40312307,Webhelp Malaysia Sdn. Bhd.,Inside Sales Specialist [말레이시아 이전],아시아·중동,"국내영업, 기술영업, 해외영업, 기술영업, 기술지원, 솔루션영업, 시스템영업, 신기술영업, 고객상담, 고객응대, 고객지원, 인바운드TM, CS"
https://www.jobkorea.co.kr/Recruit/GI_Read/40639762,엘오케이(유),[L`oreal Korea] Credit Specialist - Corporate Operation SCM,서울,"SAP, 재무기획, 재무회계"
https://www.jobkorea.co.kr/Recruit/GI_Read/40298073,㈜코씰,코씰(외국계) Production Management Assistant 채용,전북,"생산관리, 자재관리"
